d,,,,,,,,
br,bn,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,--,--,--,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
--,rc,--,--,rb,--,--,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,--,rn,rr
br,bn,bb,ba,bk,ba,--,bn,br
--,--,--,--,--,--,--,--,--
--,bc,--,--,bb,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
--,rc,--,--,rb,--,--,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,--,rn,rr
br,bn,bb,ba,bk,ba,--,bn,br
--,--,--,--,--,--,--,--,--
--,bc,--,--,bb,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,rb,--,--,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,--,rn,rr
br,bn,bb,ba,bk,ba,--,bn,br
--,--,--,--,--,--,--,--,--
--,bc,--,--,bb,--,--,bc,--
bp,--,bp,--,bp,--,--,--,bp
--,--,--,--,--,--,bp,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,rb,--,--,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,--,rn,rr
br,bn,bb,ba,bk,ba,--,bn,br
--,--,--,--,--,--,--,--,--
--,bc,--,--,bb,--,--,bc,--
bp,--,bp,--,bp,--,--,--,bp
--,--,--,--,--,--,bp,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,rn,--,rb,--,--,rc,--
--,--,--,--,--,--,--,--,--
rr,--,rb,ra,rk,ra,--,rn,rr
br,--,bb,ba,bk,ba,--,bn,br
--,--,--,--,--,--,--,--,--
bn,bc,--,--,bb,--,--,bc,--
bp,--,bp,--,bp,--,--,--,bp
--,--,--,--,--,--,bp,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,rn,--,rb,--,--,rc,--
--,--,--,--,--,--,--,--,--
rr,--,rb,ra,rk,ra,--,rn,rr
br,--,bb,ba,bk,ba,--,bn,br
--,--,--,--,--,--,--,--,--
bn,bc,--,--,bb,--,--,bc,--
bp,--,bp,--,bp,--,--,--,bp
--,--,--,--,--,--,bp,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,rn,--,rb,--,--,rc,--
--,--,--,--,--,rn,--,--,--
rr,--,rb,ra,rk,ra,--,--,rr
--,--,bb,ba,bk,ba,--,bn,br
br,--,--,--,--,--,--,--,--
bn,bc,--,--,bb,--,--,bc,--
bp,--,bp,--,bp,--,--,--,bp
--,--,--,--,--,--,bp,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,rn,--,rb,--,--,rc,--
--,--,--,--,--,rn,--,--,--
rr,--,rb,ra,rk,ra,--,--,rr
--,--,bb,ba,bk,ba,--,bn,br
br,--,--,--,--,--,--,--,--
bn,bc,--,--,bb,--,--,bc,--
bp,--,bp,--,bp,--,--,--,bp
--,--,--,--,--,--,bp,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,rn,--,rb,--,--,rc,--
rr,--,--,--,--,rn,--,--,--
--,--,rb,ra,rk,ra,--,--,rr
--,--,bb,ba,bk,ba,--,bn,br
--,--,--,--,--,br,--,--,--
bn,bc,--,--,bb,--,--,bc,--
bp,--,bp,--,bp,--,--,--,bp
--,--,--,--,--,--,bp,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,rn,--,rb,--,--,rc,--
rr,--,--,--,--,rn,--,--,--
--,--,rb,ra,rk,ra,--,--,rr
--,--,bb,ba,bk,ba,--,bn,br
--,--,--,--,--,br,--,--,--
bn,bc,--,--,bb,--,--,bc,--
bp,--,bp,--,bp,--,--,--,bp
