d,,,,,,,,
br,bn,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,--,--,--,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
--,rc,--,--,rb,--,--,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,--,rn,rr
br,--,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,bn,--,--,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
--,rc,--,--,rb,--,--,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,--,rn,rr
br,--,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,bn,--,--,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
--,--,rc,--,rb,--,--,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,--,rn,rr
br,--,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,bn,--,bc,--,--,--,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
--,--,rc,--,rb,--,--,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,--,rn,rr
br,--,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,bn,--,bc,--,--,--,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
rn,--,rc,--,rb,--,--,rc,--
--,--,--,--,--,--,--,--,--
rr,--,rb,ra,rk,ra,--,rn,rr
br,--,bb,ba,bk,ba,bb,--,br
--,--,--,--,--,--,--,--,--
--,bc,bn,--,bc,--,bn,--,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
rn,--,rc,--,rb,--,--,rc,--
--,--,--,--,--,--,--,--,--
rr,--,rb,ra,rk,ra,--,rn,rr
br,--,bb,ba,bk,ba,bb,--,br
--,--,--,--,--,--,--,--,--
--,bc,bn,--,bc,--,bn,--,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
rn,--,rc,--,rb,--,--,rc,--
--,--,--,--,--,--,--,--,--
--,rr,rb,ra,rk,ra,--,rn,rr
--,br,bb,ba,bk,ba,bb,--,br
--,--,--,--,--,--,--,--,--
--,bc,bn,--,bc,--,bn,--,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
rn,--,rc,--,rb,--,--,rc,--
--,--,--,--,--,--,--,--,--
--,rr,rb,ra,rk,ra,--,rn,rr
--,br,bb,ba,bk,ba,bb,--,br
--,--,--,--,--,--,--,--,--
--,bc,bn,--,bc,--,bn,--,--
bp,rr,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
rn,--,rc,--,rb,--,--,rc,--
--,--,--,--,--,--,--,--,--
--,--,rb,ra,rk,ra,--,rn,rr
--,br,bb,ba,bk,ba,bb,--,br
--,bc,--,--,--,--,--,--,--
--,--,bn,--,bc,--,bn,--,--
bp,rr,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
rn,--,rc,--,rb,--,--,rc,--
--,--,--,--,--,--,--,--,--
--,--,rb,ra,rk,ra,--,rn,rr
--,br,bb,ba,bk,ba,bb,--,br
--,bc,--,--,--,--,--,--,--
--,--,bn,--,bc,--,bn,--,--
bp,rr,bp,--,bp,--,bp,--,bp
